step,object,x,y,zoom,page,question,answer,alt_text,layer1_button,layer1_content,layer2_button,layer2_content,clip_start,clip_end,loop
paso,objeto,x,y,zoom,pagina,pregunta,respuesta,texto_alt,boton1,contenido1,boton2,contenido2,inicio_clip,fin_clip,bucle
1,protests20today,0.5,0.5,1,,"ucsb activism, why is it so special?","in this day ucsb is rooted in sharing voices and opinions loud and proud, My theme that I've been carrying through this class is music social activism in the 90’s. So right now ill just be overviewing some of the forms of activism I've been analyzing and touching upon how why it matters today (literally dealing with the same issues) 
",,,,,,,,
2,prop2018720protest,0.5,0.5,1,,what did ucsb fight for in the 90's?,"Here is a capture of a new clipping from nexus where students took over cheadle hall over the passage of proposition 187. Approved in November 1994, California’s Proposition 187 was a contentious ballot measure that sought to prohibit undocumented immigrants from utilizing public education, social services, and non-emergency healthcare.

here is the news clipping from nexus oof 187 protests in cheadle 
",,,,,,,,
3,hunger-strike-1990s,0.5,0.5,1,,what targeted the hunger strike in 1990's?,"In 1994, UCSB students organized a hunger strike to demand stronger support for ethnic studies, diversity initiatives, and greater representation for marginalized communities on campus. ",,,,,,,,
4,screenshot202026052820at2092757e280afam,0.5,0.5,1,,graduate strike -1993,"throughout the late 1990s, Teaching Assistants (TAs) and graduate students organized to demand official union recognition and better working conditions from the University of California system. 
",(clipping from CEMA93) archives,,,,,,,
5,sa20awareness20,0.5,0.5,1,,"sexual assault awareness ","after a sexual assault The different forms of activism they did was doing multiple plays in broida by teen thetaher , having presentations by the rape crisis  center, and faculty and staff held community circle like fiscussions on sexism. There was also a graffiti wall for people to express themselves in an artistic way. Also a band to perform at stories that would also use music through expression. 
",,,,,,,,
6,academic20and20community20justice20rally20,0.5,0.5,1,,el congresso procession rally-1994,"Eight students participated in a hunger strike from April 27 to May 5. As members of El Congreso, a Chicano/Latino support group and political student organization, these students were striking to draw attention to the university’s repeated failure to address the needs of Chicano students. ",,,,,,,,
7,,,,,,el congreso- procession rally,"Eight students participated in a hunger strike from April 27 to May 5. As members of El Congreso, a Chicano/Latino support group and political student organization, these students were striking to draw attention to the university’s repeated failure to address the needs of Chicano students.",,,,,,,,
8,screenshot202026050720at2011010e280afam201,0.5,0.5,1,,ethnic studies program,Dismantling the ethnic studies program: Student activists utilized these protests to alter UCSB's academic and cultural landscape permanently. The activism and organizing of the 1990s directly paved the way for UCSB to establish the country's first Ph.D. program in Chicana/o Studies in 2003.,,,,,,,,
9,screenshot202026052820at20102350e280afam,0.5,0.5,1,,1990's activism shaped ucsb," Our history of activism on campus matters today for soooo many reasons! We've literally been battling our issues since the 90’s and even beyond. During the tough times we are living in as students, our greatest strength is to look behind us and see what battles we went up against and to use it for going forward",,,,,,,,